O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
11-2021.00,Marketing Managers,Commercial Lines Manager,N
11-2021.00,Marketing Managers,Market Development Executive,N
11-2021.00,Marketing Managers,Marketing Coordinator,N
11-2021.00,Marketing Managers,Marketing Director,Y
11-2021.00,Marketing Managers,Marketing Manager,Y
11-2021.00,Marketing Managers,Product Manager,N
11-2022.00,Sales Managers,District Sales Manager,Y
11-2022.00,Sales Managers,National Sales Manager,N
11-2022.00,Sales Managers,Regional Sales Manager,N
11-2022.00,Sales Managers,Sales and Marketing Vice President (Sales and Marketing VP),N
11-2022.00,Sales Managers,Sales Director,Y
11-2022.00,Sales Managers,Sales Manager,Y
11-2022.00,Sales Managers,Sales Supervisor,N
11-2022.00,Sales Managers,Sales Vice President (Sales VP),Y
11-2032.00,Public Relations Managers,Communications Director,Y
11-2032.00,Public Relations Managers,Communications Manager,N
11-2032.00,Public Relations Managers,Community Relations Director,Y
11-2032.00,Public Relations Managers,Development Director,N
11-2032.00,Public Relations Managers,Public Affairs Director,Y
11-2032.00,Public Relations Managers,Public Relations Director (PR Director),Y
11-2032.00,Public Relations Managers,Public Relations Manager (PR Manager),N
11-2033.00,Fundraising Managers,Account Supervisor,Y
11-2033.00,Fundraising Managers,Annual Giving Director,Y
11-2033.00,Fundraising Managers,Development Director,Y
11-3012.00,Administrative Services Managers,Administrative Coordinator,Y
11-3012.00,Administrative Services Managers,Administrative Director,N
11-3012.00,Administrative Services Managers,Administrative Manager,Y
11-3012.00,Administrative Services Managers,Administrative Officer,Y
11-3012.00,Administrative Services Managers,Administrator,N
11-3012.00,Administrative Services Managers,Business Administrator,Y
11-3012.00,Administrative Services Managers,Business Manager,N
11-3013.00,Facilities Managers,Building Maintenance Superintendent,N
11-3013.00,Facilities Managers,Building Services Supervisor,N
11-3013.00,Facilities Managers,Facilities Coordinator,N
11-3013.00,Facilities Managers,Facilities Director,Y
11-3013.00,Facilities Managers,Facilities Engineer,N
11-3013.00,Facilities Managers,Facilities Maintenance Manager,Y
11-3013.00,Facilities Managers,Facilities Manager,Y
11-3013.00,Facilities Managers,Facilities Operations Manager (Facilities Ops Manager),Y
11-3013.00,Facilities Managers,Facilities Operations Specialist (Facilities Ops Specialist),N
11-3013.00,Facilities Managers,Maintenance Superintendent,N
11-3013.01,Security Managers,Corporate Physical Security Supervisor,Y
11-3013.01,Security Managers,Corporate Security Manager,Y
11-3013.01,Security Managers,Security Director,Y
11-3013.01,Security Managers,Security Manager,Y
11-3021.00,Computer and Information Systems Managers,Application Development Director,N
11-3021.00,Computer and Information Systems Managers,Computing Services Director,N
11-3021.00,Computer and Information Systems Managers,Data Processing Manager,N
11-3021.00,Computer and Information Systems Managers,Information Systems Director (IS Director),Y
11-3021.00,Computer and Information Systems Managers,Information Systems Manager (IS Manager),Y
11-3021.00,Computer and Information Systems Managers,Information Systems Supervisor (IS Supervisor),N
11-3021.00,Computer and Information Systems Managers,Information Technology Director (IT Director),Y
11-3021.00,Computer and Information Systems Managers,Information Technology Manager (IT Manager),Y
11-3021.00,Computer and Information Systems Managers,MIS Director (Management Information Systems Director),N
11-3021.00,Computer and Information Systems Managers,Technical Services Manager,N
11-3031.00,Financial Managers,Accounting Supervisor,N
11-3031.00,Financial Managers,Banking Center Manager (BCM),Y
11-3031.00,Financial Managers,Branch Manager,Y
11-3031.00,Financial Managers,Business Banking Manager,N
11-3031.00,Financial Managers,Credit Administration Manager,Y
11-3031.00,Financial Managers,Credit Manager,N
11-3031.00,Financial Managers,Financial Center Manager,Y
11-3031.00,Financial Managers,Financial Planning Manager,N
11-3031.00,Financial Managers,Financial Reporting Manager,N
11-3031.00,Financial Managers,Financial Systems Manager,N
11-3031.01,Treasurers and Controllers,Comptroller,Y
11-3031.01,Treasurers and Controllers,Controller,Y
11-3031.01,Treasurers and Controllers,Corporate Controller,N
11-3031.01,Treasurers and Controllers,Corporate Treasurer,Y
11-3031.01,Treasurers and Controllers,Regional Controller,N
11-3031.01,Treasurers and Controllers,School Treasurer,N
11-3031.01,Treasurers and Controllers,Treasurer,Y
11-3031.01,Treasurers and Controllers,Treasury Consultant,N
11-3031.03,Investment Fund Managers,Fixed Income Portfolio Manager,Y
11-3031.03,Investment Fund Managers,Fixed Income Vice President (Fixed Income VP),Y
11-3031.03,Investment Fund Managers,Investment Analysis Vice President (Investment Analysis VP),Y
11-3031.03,Investment Fund Managers,Portfolio Manager,Y
11-3051.00,Industrial Production Managers,Area Plant Manager,N
11-3051.00,Industrial Production Managers,Assembly Manager,Y
11-3051.00,Industrial Production Managers,General Production Manager,N
11-3051.00,Industrial Production Managers,Manufacturing Coordinator,N
11-3051.00,Industrial Production Managers,Manufacturing Manager,Y
11-3051.00,Industrial Production Managers,Plant Manager,Y
11-3051.00,Industrial Production Managers,Product Line Manager,N
11-3051.00,Industrial Production Managers,Production Control Manager,N
11-3051.00,Industrial Production Managers,Production Manager,Y
11-3051.00,Industrial Production Managers,Sub Plant Manager,N
11-3051.01,Quality Control Systems Managers,Product Quality Director,N
11-3051.01,Quality Control Systems Managers,Quality and Food Safety Manager,N
11-3051.01,Quality Control Systems Managers,Quality and Process Improvement Manager,N
11-3051.01,Quality Control Systems Managers,Quality Assurance Director (QA Director),Y
11-3051.01,Quality Control Systems Managers,Quality Assurance Manager (QA Manager),Y
11-3051.01,Quality Control Systems Managers,Quality Control Manager (QC Manager),Y
11-3051.01,Quality Control Systems Managers,Quality Control Supervisor (QC Supervisor),N
11-3051.01,Quality Control Systems Managers,Quality Director,N
11-3051.01,Quality Control Systems Managers,Quality Manager,Y
11-3051.01,Quality Control Systems Managers,Quality Systems Director,N
11-3061.00,Purchasing Managers,Category Purchasing Manager,N
11-3061.00,Purchasing Managers,Commodity Manager,N
11-3061.00,Purchasing Managers,Materials Director,N
11-3061.00,Purchasing Managers,Materials Manager,Y
11-3061.00,Purchasing Managers,Procurement Director,N
11-3061.00,Purchasing Managers,Procurement Manager,Y
11-3061.00,Purchasing Managers,Purchasing Director,Y
11-3061.00,Purchasing Managers,Purchasing Manager,Y
11-3061.00,Purchasing Managers,Purchasing Supervisor,N
11-3061.00,Purchasing Managers,Strategic Sourcing Director,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,Y
11-3071.00,"Transportation, Storage, and Distribution Managers",Distribution Manager,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Fleet Manager,Y
11-3071.00,"Transportation, Storage, and Distribution Managers",Global Transportation Manager,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Logistics Director,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Logistics Operations Manager,Y
11-3071.00,"Transportation, Storage, and Distribution Managers",Shipping Manager,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Supply Chain Logistics Manager,Y
11-3071.00,"Transportation, Storage, and Distribution Managers",Transportation Manager,N
11-3071.00,"Transportation, Storage, and Distribution Managers",Warehouse Supervisor,N
11-3071.04,Supply Chain Managers,Global Supply Chain Director,Y
11-3071.04,Supply Chain Managers,Material Requirements Planning Manager,Y
11-3071.04,Supply Chain Managers,Solution Design and Analysis Manager,N
11-3071.04,Supply Chain Managers,Supply Chain Director,Y
11-3071.04,Supply Chain Managers,Supply Chain Manager,Y
11-3111.00,Compensation and Benefits Managers,Benefits Coordinator,N
11-3111.00,Compensation and Benefits Managers,Benefits Director,N
11-3111.00,Compensation and Benefits Managers,Benefits Manager,Y
11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Director,N
11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Manager,Y
11-3111.00,Compensation and Benefits Managers,Compensation Director,Y
11-3111.00,Compensation and Benefits Managers,Compensation Manager,Y
11-3111.00,Compensation and Benefits Managers,Employee Benefits Coordinator,N
11-3111.00,Compensation and Benefits Managers,Employee Benefits Manager,N
11-3111.00,Compensation and Benefits Managers,Payroll Manager,N
11-3121.00,Human Resources Managers,Employee Relations Manager,Y
11-3121.00,Human Resources Managers,HR Administration Director (Human Resources Administration Director),Y
11-3121.00,Human Resources Managers,Human Resources Director (HR Director),Y
11-3121.00,Human Resources Managers,Human Resources Manager (HR Manager),Y
11-3121.00,Human Resources Managers,Human Resources Operations Manager,N
11-3131.00,Training and Development Managers,Education and Development Manager,N
11-3131.00,Training and Development Managers,L and D Director (Learning and Development Director),Y
11-3131.00,Training and Development Managers,Learning Manager,Y
11-3131.00,Training and Development Managers,Organizational Development Manager (OD Manager),N
11-3131.00,Training and Development Managers,Staff Development Director,N
11-3131.00,Training and Development Managers,Staff Training and Development Manager,N
11-3131.00,Training and Development Managers,Training and Development Coordinator (T and D Coordinator),N
11-3131.00,Training and Development Managers,Training and Development Director (T and D Director),N
11-3131.00,Training and Development Managers,Training Director,Y
11-3131.00,Training and Development Managers,Training Manager,Y
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Aquaculture Director,Y
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Farm Manager,Y
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Farm Operations Technical Director,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish Hatchery Manager,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Greenhouse Manager,Y
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Harvesting Manager,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hatchery Manager,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hatchery Supervisor,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Nursery Manager,N
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Ranch Manager,Y
11-9021.00,Construction Managers,Concrete Foreman,Y
11-9021.00,Construction Managers,Construction Area Manager,Y
11-9021.00,Construction Managers,Construction Foreman,N
11-9021.00,Construction Managers,Construction Manager,Y
11-9021.00,Construction Managers,Construction Services Manager,N
11-9021.00,Construction Managers,Construction Superintendent,Y
11-9021.00,Construction Managers,Job Superintendent,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",Athletic Director,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",Elementary Principal,Y
11-9032.00,"Education Administrators, Kindergarten through Secondary",High School Principal,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",Middle School Principal,Y
11-9032.00,"Education Administrators, Kindergarten through Secondary",Principal,Y
11-9032.00,"Education Administrators, Kindergarten through Secondary",School Administrator,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",School Superintendent,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",Special Education Director,N
11-9032.00,"Education Administrators, Kindergarten through Secondary",Superintendent,Y
11-9032.00,"Education Administrators, Kindergarten through Secondary",Vice Principal,N
11-9033.00,"Education Administrators, Postsecondary",Academic Affairs Vice President (Academic Affairs VP),Y
11-9033.00,"Education Administrators, Postsecondary",Academic Dean,Y
11-9033.00,"Education Administrators, Postsecondary",Admissions Director,N
11-9033.00,"Education Administrators, Postsecondary",College President,N
11-9033.00,"Education Administrators, Postsecondary",Dean,Y
11-9033.00,"Education Administrators, Postsecondary",Financial Aid Director,N
11-9033.00,"Education Administrators, Postsecondary",Institutional Research Director,N
11-9033.00,"Education Administrators, Postsecondary",Provost,N
11-9033.00,"Education Administrators, Postsecondary",Registrar,Y
11-9033.00,"Education Administrators, Postsecondary",Students Dean,N
11-9041.00,Architectural and Engineering Managers,Civil Engineering Manager,N
11-9041.00,Architectural and Engineering Managers,Electrical Engineering Manager,N
11-9041.00,Architectural and Engineering Managers,Engineering Director,Y
11-9041.00,Architectural and Engineering Managers,Engineering Group Manager,N
11-9041.00,Architectural and Engineering Managers,Engineering Program Manager,Y
11-9041.00,Architectural and Engineering Managers,Mechanical Engineering Manager,N
11-9041.00,Architectural and Engineering Managers,Process Engineering Manager,N
11-9041.00,Architectural and Engineering Managers,Project Engineering Manager,Y
11-9041.00,Architectural and Engineering Managers,Project Manager,Y
11-9081.00,Lodging Managers,Bed and Breakfast Innkeeper,N
11-9081.00,Lodging Managers,Front Desk Manager,Y
11-9081.00,Lodging Managers,Front Office Director,N
11-9081.00,Lodging Managers,Front Office Manager,Y
11-9081.00,Lodging Managers,Guest Relations Manager,N
11-9081.00,Lodging Managers,Guest Services Manager,N
11-9081.00,Lodging Managers,Hotel Manager,Y
11-9081.00,Lodging Managers,Night Manager,N
11-9081.00,Lodging Managers,Resort Manager,Y
11-9081.00,Lodging Managers,Rooms Director,N
11-9111.00,Medical and Health Services Managers,Cancer Center Director,N
11-9111.00,Medical and Health Services Managers,Clinical Director,Y
11-9111.00,Medical and Health Services Managers,Health Information Management Director (HIM Director),Y
11-9111.00,Medical and Health Services Managers,Health Information Manager (HIM Manager),Y
11-9111.00,Medical and Health Services Managers,Healthcare System Director,N
11-9111.00,Medical and Health Services Managers,Medical Records Director,N
11-9111.00,Medical and Health Services Managers,Medical Records Manager,N
11-9111.00,Medical and Health Services Managers,Mental Health Program Manager,N
11-9111.00,Medical and Health Services Managers,Nurse Manager,N
11-9111.00,Medical and Health Services Managers,Nursing Director,Y
11-9121.00,Natural Sciences Managers,Analytical Services Manager,N
11-9121.00,Natural Sciences Managers,Chemical Engineer Supervisor,N
11-9121.00,Natural Sciences Managers,Chemical Process Exploration Manager,Y
11-9121.00,Natural Sciences Managers,Environmental Program Manager,Y
11-9121.00,Natural Sciences Managers,Lab Manager (Laboratory Manager),N
11-9121.00,Natural Sciences Managers,Natural Sciences Manager,Y
11-9121.00,Natural Sciences Managers,Research Administrator,N
11-9121.00,Natural Sciences Managers,Research and Development Director (R and D Director),Y
11-9121.00,Natural Sciences Managers,Research Manager,N
11-9121.00,Natural Sciences Managers,Water Team Leader,N
11-9121.01,Clinical Research Coordinators,Clinical Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Program Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Program Manager,Y
11-9121.01,Clinical Research Coordinators,Clinical Research Administrator,N
11-9121.01,Clinical Research Coordinators,Clinical Research Coordinator,Y
11-9121.01,Clinical Research Coordinators,Clinical Research Manager,N
11-9121.01,Clinical Research Coordinators,Clinical Research Nurse Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Trial Coordinator,N
11-9121.01,Clinical Research Coordinators,Clinical Trial Manager,Y
11-9121.01,Clinical Research Coordinators,Research Coordinator,Y
11-9121.02,Water Resource Specialists,Water Resources Planner,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Apartment Manager,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Community Association Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Community Manager,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Lease Administration Supervisor,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Leasing Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Occupancy Director,N
11-9141.00,"Property, Real Estate, and Community Association Managers",On-Site Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Property Manager,Y
11-9141.00,"Property, Real Estate, and Community Association Managers",Real Estate Manager,N
11-9141.00,"Property, Real Estate, and Community Association Managers",Resident Manager,Y
11-9151.00,Social and Community Service Managers,Adoption Services Manager,N
11-9151.00,Social and Community Service Managers,Child Welfare Services Director,Y
11-9151.00,Social and Community Service Managers,Children's Service Supervisor,N
11-9151.00,Social and Community Service Managers,Clinical Services Director,N
11-9151.00,Social and Community Service Managers,Community Services Director,N
11-9151.00,Social and Community Service Managers,Psychiatric Social Worker Supervisor,N
11-9151.00,Social and Community Service Managers,Social Services Director,Y
11-9151.00,Social and Community Service Managers,Transitional Care Director,Y
11-9151.00,Social and Community Service Managers,Vocational Rehabilitation Administrator,Y
11-9161.00,Emergency Management Directors,911 Communications Manager,N
11-9161.00,Emergency Management Directors,Emergency Management Coordinator,N
11-9161.00,Emergency Management Directors,Emergency Management Director,Y
11-9161.00,Emergency Management Directors,Emergency Management System Director (EMS Director),Y
11-9161.00,Emergency Management Directors,Emergency Manager,N
11-9161.00,Emergency Management Directors,Emergency Planner,Y
11-9161.00,Emergency Management Directors,Emergency Preparedness Manager,N
11-9161.00,Emergency Management Directors,Emergency Services Director,N
11-9161.00,Emergency Management Directors,Emergency Services Program Coordinator,N
11-9161.00,Emergency Management Directors,Public Safety Director,Y
11-9171.00,Funeral Home Managers,Arranging Funeral Director,N
11-9171.00,Funeral Home Managers,Funeral Director,Y
11-9171.00,Funeral Home Managers,Funeral Home Location Manager,N
11-9171.00,Funeral Home Managers,Funeral Home Manager,Y
11-9171.00,Funeral Home Managers,Funeral Home Owner,N
11-9171.00,Funeral Home Managers,Funeral Service Manager,Y
11-9171.00,Funeral Home Managers,Licensed Funeral Director,N
11-9171.00,Funeral Home Managers,Location Manager,Y
11-9171.00,Funeral Home Managers,Mortuary Operations Manager (Mortuary Ops Manager),N
11-9171.00,Funeral Home Managers,Prearranged Funeral Sales Manager,N
11-9179.01,Fitness and Wellness Coordinators,Clinical and Wellness Programs Manager,N
11-9179.01,Fitness and Wellness Coordinators,Fitness and Wellness Coordinator,Y
11-9179.01,Fitness and Wellness Coordinators,Fitness and Wellness Director,Y
11-9179.01,Fitness and Wellness Coordinators,Fitness Center Manager,N
11-9179.01,Fitness and Wellness Coordinators,Fitness Coordinator,Y
11-9179.01,Fitness and Wellness Coordinators,Fitness Director,Y
11-9179.01,Fitness and Wellness Coordinators,Group Fitness Manager (GFM),N
11-9179.01,Fitness and Wellness Coordinators,Wellness and Coaching Manager,N
11-9179.01,Fitness and Wellness Coordinators,Wellness Director,N
11-9179.01,Fitness and Wellness Coordinators,Wellness Programs Director,N
11-9199.01,Regulatory Affairs Managers,"CMC Director (Chemistry, Manufacturing, and Controls Director)",N
11-9199.01,Regulatory Affairs Managers,Compliance Director,Y
11-9199.01,Regulatory Affairs Managers,Global RA Director (Global Regulatory Affairs Director),N
11-9199.01,Regulatory Affairs Managers,Global RA Manager (Global Regulatory Affairs Manager),Y
11-9199.01,Regulatory Affairs Managers,RA Director (Regulatory Affairs Director),Y
11-9199.01,Regulatory Affairs Managers,RA Manager (Regulatory Affairs Manager),Y
11-9199.01,Regulatory Affairs Managers,RA QA Director (Regulatory Affairs Quality Assurance Director),N
11-9199.01,Regulatory Affairs Managers,RA VP (Regulatory Affairs Vice President),N
11-9199.01,Regulatory Affairs Managers,Regulatory Director,N
11-9199.01,Regulatory Affairs Managers,Vaccine RA Director (Vaccine Regulatory Affairs Director),N
11-9199.02,Compliance Managers,Accreditation Lieutenant,N
11-9199.02,Compliance Managers,Accreditation Manager,N
11-9199.02,Compliance Managers,Compliance Director,Y
11-9199.02,Compliance Managers,Compliance Manager,Y
11-9199.02,Compliance Managers,Compliance Operations Manager,N
11-9199.02,Compliance Managers,Environmental Health and Safety Director,N
11-9199.02,Compliance Managers,Environmental Manager,Y
11-9199.02,Compliance Managers,Environmental Program Manager,Y
11-9199.02,Compliance Managers,"Health, Safety, and Environmental Manager (HSE Manager)",N
11-9199.02,Compliance Managers,Risk Manager,N
11-9199.08,Loss Prevention Managers,Asset Protection Manager,Y
11-9199.08,Loss Prevention Managers,Logistics Loss Prevention Manager,N
11-9199.08,Loss Prevention Managers,Loss Control Manager,N
11-9199.08,Loss Prevention Managers,Loss Prevention Director,Y
11-9199.08,Loss Prevention Managers,Loss Prevention Manager,Y
11-9199.08,Loss Prevention Managers,Loss Prevention Operations Director,N
11-9199.08,Loss Prevention Managers,Loss Prevention Operations Manager,Y
11-9199.08,Loss Prevention Managers,Loss Prevention Supervisor,N
11-9199.08,Loss Prevention Managers,Market Asset Protection Manager,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Program Director,Y
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Program Manager,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Redevelopment Coordinator,Y
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfields Practice Leader,Y
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfields Program Coordinator,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfields Program Manager,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environmental Practice Leader,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environmental Program Manager,Y
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environmental Quality Division Manager,N
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environmental Quality Specialist,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Agent,Y
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Athlete Marketing Agent,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Booker,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Booking Agent,Y
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Entertainment Specialist,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Literary Agent,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Print Agent,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Agent,Y
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Representative,N
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Theatrical Agent,Y
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Buyer,Y
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Grain Buyer,Y
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Grain Merchandiser,Y
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Grain Origination Specialist,N
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Purchasing Agent,Y
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Tobacco Buyer,N
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Buyer,Y
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Grocery Buyer,Y
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Procurement Specialist,Y
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Purchaser,N
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Purchasing Coordinator,N
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Retail Buyer,N
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Trader,Y
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Buyer,Y
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Procurement Official,Y
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Procurement Specialist,Y
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Administrator,N
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Agent,Y
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims Adjuster,Y
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims Analyst,Y
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims Examiner,Y
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims Representative,Y
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims Specialist,N
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Corporate Claims Examiner,N
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Field Claims Adjuster,N
13-1031.00,"Claims Adjusters, Examiners, and Investigators",General Adjuster,N
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Home Office Claims Specialist,N
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Litigation Claims Representative,N
13-1041.00,Compliance Officers,Driver Examiner,N
13-1041.00,Compliance Officers,Driver License Agent,N
13-1041.00,Compliance Officers,Driver License Examiner,Y
13-1041.00,Compliance Officers,Examiner,N
13-1041.00,Compliance Officers,License Examiner,Y
13-1041.00,Compliance Officers,License Registration Examiner,N
13-1041.00,Compliance Officers,Licensing Analyst,N
13-1041.00,Compliance Officers,Motor Vehicle Clerk,Y
13-1041.00,Compliance Officers,Public Service Representative (PSR),Y
13-1041.00,Compliance Officers,Transportation Services Representative (TSR),N
13-1041.01,Environmental Compliance Inspectors,Air Permitting and Enforcement Inspector,N
13-1041.01,Environmental Compliance Inspectors,Compliance Investigator,N
13-1041.01,Environmental Compliance Inspectors,Enforcement Officer,Y
13-1041.01,Environmental Compliance Inspectors,Environmental Compliance Inspector,N
13-1041.01,Environmental Compliance Inspectors,Environmental Inspector,Y
13-1041.01,Environmental Compliance Inspectors,Environmental Protection Specialist,Y
13-1041.01,Environmental Compliance Inspectors,Environmental Quality Analyst,Y
13-1041.01,Environmental Compliance Inspectors,Resource Conservation and Recovery Act Enforcement Officer (RCRA Enforcement Officer),N
13-1041.01,Environmental Compliance Inspectors,Toxics Program Officer,N
13-1041.01,Environmental Compliance Inspectors,Waste Management Specialist,N
13-1041.03,Equal Opportunity Representatives and Officers,Affirmative Action Officer (AA Officer),Y
13-1041.03,Equal Opportunity Representatives and Officers,Civil Rights Investigator,Y
13-1041.03,Equal Opportunity Representatives and Officers,Civil Rights Representative,N
13-1041.03,Equal Opportunity Representatives and Officers,Complaint Investigations Officer,N
13-1041.03,Equal Opportunity Representatives and Officers,Equal Employment Opportunity Officer (EEO Officer),Y
13-1041.03,Equal Opportunity Representatives and Officers,Equal Employment Opportunity Representative (EEO Representative),N
13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Specialist,Y
13-1041.07,Regulatory Affairs Specialists,Drug Regulatory Affairs Specialist,N
13-1041.07,Regulatory Affairs Specialists,Regulatory Affairs Analyst (RA Analyst),N
13-1041.07,Regulatory Affairs Specialists,Regulatory Affairs Associate (RA Associate),Y
13-1041.07,Regulatory Affairs Specialists,Regulatory Affairs Consultant (RA Consultant),Y
