Code,Occupation,Categories
15-1243.00,Database Architects,Rapid Growth
31-9091.00,Dental Assistants,Rapid Growth
15-1299.06,Digital Forensics Analysts,Rapid Growth; New and Emerging
15-1299.03,Document Management Specialists,Rapid Growth
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Rapid Growth
17-2071.00,Electrical Engineers,Rapid Growth
17-2072.00,"Electronics Engineers, Except Computer",Rapid Growth
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Rapid Growth
17-2081.00,Environmental Engineers,Rapid Growth
19-2041.02,Environmental Restoration Planners,Rapid Growth
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Rapid Growth
19-2041.00,"Environmental Scientists and Specialists, Including Health",Rapid Growth
19-1041.00,Epidemiologists,Rapid Growth
29-1128.00,Exercise Physiologists,Rapid Growth
13-2051.00,Financial and Investment Analysts,Rapid Growth
13-2061.00,Financial Examiners,Rapid Growth
11-3031.00,Financial Managers,Rapid Growth
13-2099.01,Financial Quantitative Analysts,Rapid Growth
13-2054.00,Financial Risk Specialists,Rapid Growth
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Rapid Growth
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Numerous Job Openings
11-9179.01,Fitness and Wellness Coordinators,Rapid Growth
53-2031.00,Flight Attendants,Rapid Growth
19-4013.00,Food Science Technicians,Rapid Growth
19-1012.00,Food Scientists and Technologists,Rapid Growth
19-4092.00,Forensic Science Technicians,Rapid Growth
13-2099.04,"Fraud Examiners, Investigators and Analysts",Rapid Growth
43-5011.01,Freight Forwarders,Rapid Growth
17-2141.01,Fuel Cell Engineers,Rapid Growth
13-1131.00,Fundraisers,Rapid Growth
11-2033.00,Fundraising Managers,Rapid Growth
11-1021.00,General and Operations Managers,Rapid Growth; Numerous Job Openings
29-9092.00,Genetic Counselors,Rapid Growth
19-1029.03,Geneticists,Rapid Growth
15-1299.02,Geographic Information Systems Technologists and Technicians,Rapid Growth
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Rapid Growth
21-1091.00,Health Education Specialists,Rapid Growth
15-1211.01,Health Informatics Specialists,Rapid Growth
29-9021.00,Health Information Technologists and Medical Registrars,Rapid Growth
21-1022.00,Healthcare Social Workers,Rapid Growth
29-2092.00,Hearing Aid Specialists,Rapid Growth
19-3093.00,Historians,Rapid Growth
17-2112.01,Human Factors Engineers and Ergonomists,Rapid Growth
11-3121.00,Human Resources Managers,Rapid Growth
13-1071.00,Human Resources Specialists,Rapid Growth
19-2041.03,Industrial Ecologists,Rapid Growth
17-2112.00,Industrial Engineers,Rapid Growth
49-9041.00,Industrial Machinery Mechanics,Rapid Growth
15-1212.00,Information Security Analysts,Rapid Growth
15-1299.05,Information Security Engineers,Rapid Growth; New and Emerging
15-1299.09,Information Technology Project Managers,Rapid Growth
11-3031.03,Investment Fund Managers,Rapid Growth
11-9081.00,Lodging Managers,Rapid Growth
13-1081.00,Logisticians,Rapid Growth
13-1081.02,Logistics Analysts,Rapid Growth
13-1081.01,Logistics Engineers,Rapid Growth
11-9199.08,Loss Prevention Managers,Rapid Growth; Numerous Job Openings
13-1111.00,Management Analysts,Rapid Growth
17-2112.03,Manufacturing Engineers,Rapid Growth
17-2121.00,Marine Engineers and Naval Architects,Rapid Growth
13-1161.00,Market Research Analysts and Marketing Specialists,Rapid Growth
11-2021.00,Marketing Managers,Rapid Growth
21-1013.00,Marriage and Family Therapists,Rapid Growth
17-2131.00,Materials Engineers,Rapid Growth
17-2141.00,Mechanical Engineers,Rapid Growth
27-2012.03,Media Programming Directors,Rapid Growth
11-9111.00,Medical and Health Services Managers,Rapid Growth
29-2072.00,Medical Records Specialists,Rapid Growth
13-1121.00,"Meeting, Convention, and Event Planners",Rapid Growth
21-1023.00,Mental Health and Substance Abuse Social Workers,Rapid Growth
19-1022.00,Microbiologists,Rapid Growth
19-1029.02,Molecular and Cellular Biologists,Rapid Growth
11-9121.00,Natural Sciences Managers,Rapid Growth
29-1217.00,Neurologists,Rapid Growth
29-1151.00,Nurse Anesthetists,Rapid Growth
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Rapid Growth
19-5011.00,Occupational Health and Safety Specialists,Rapid Growth
19-5012.00,Occupational Health and Safety Technicians,Rapid Growth
43-9061.00,"Office Clerks, General",Numerous Job Openings
13-1199.06,Online Merchants,Numerous Job Openings
15-2031.00,Operations Research Analysts,Rapid Growth
29-2099.08,Patient Representatives,Rapid Growth
15-1299.04,Penetration Testers,Rapid Growth; New and Emerging
13-2052.00,Personal Financial Advisors,Rapid Growth
19-2012.00,Physicists,Rapid Growth
19-4012.01,Precision Agriculture Technicians,Rapid Growth
27-2012.00,Producers and Directors,Rapid Growth
13-1082.00,Project Management Specialists,Rapid Growth
11-2032.00,Public Relations Managers,Rapid Growth
27-3031.00,Public Relations Specialists,Rapid Growth
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Rapid Growth
19-4099.01,Quality Control Analysts,Rapid Growth
17-2072.01,Radio Frequency Identification Device Specialists,Rapid Growth
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Rapid Growth
43-4171.00,Receptionists and Information Clerks,Numerous Job Openings
11-9199.01,Regulatory Affairs Managers,Rapid Growth; Numerous Job Openings
19-4099.03,Remote Sensing Technicians,Rapid Growth
41-9031.00,Sales Engineers,Rapid Growth
11-2022.00,Sales Managers,Rapid Growth
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Numerous Job Openings
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Numerous Job Openings
13-1161.01,Search Marketing Strategists,Rapid Growth
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Numerous Job Openings
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Rapid Growth
49-2098.00,Security and Fire Alarm Systems Installers,Rapid Growth
13-1199.07,Security Management Specialists,Numerous Job Openings
51-9141.00,Semiconductor Processing Technicians,Rapid Growth
11-9151.00,Social and Community Service Managers,Rapid Growth
21-1093.00,Social and Human Service Assistants,Rapid Growth
15-1252.00,Software Developers,Rapid Growth; Numerous Job Openings
15-1253.00,Software Quality Assurance Analysts and Testers,Rapid Growth
19-1013.00,Soil and Plant Scientists,Rapid Growth
15-2041.00,Statisticians,Rapid Growth
11-3071.04,Supply Chain Managers,Rapid Growth
17-3031.00,Surveying and Mapping Technicians,Rapid Growth
17-1022.00,Surveyors,Rapid Growth
13-1199.05,Sustainability Specialists,Numerous Job Openings
27-2012.04,Talent Directors,Rapid Growth
15-1241.01,Telecommunications Engineering Specialists,Rapid Growth
11-3131.00,Training and Development Managers,Rapid Growth
13-1151.00,Training and Development Specialists,Rapid Growth
17-2051.01,Transportation Engineers,Rapid Growth
11-3071.00,"Transportation, Storage, and Distribution Managers",Rapid Growth
11-3031.01,Treasurers and Controllers,Rapid Growth
17-2112.02,Validation Engineers,Rapid Growth
15-1255.01,Video Game Designers,Rapid Growth
11-9121.02,Water Resource Specialists,Rapid Growth
17-2051.02,Water/Wastewater Engineers,Rapid Growth
15-1299.01,Web Administrators,Rapid Growth
15-1255.00,Web and Digital Interface Designers,Rapid Growth
15-1254.00,Web Developers,Rapid Growth
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Rapid Growth
49-9081.00,Wind Turbine Service Technicians,Rapid Growth
